position,first_name,last_name,club,class,uci_id,bib_number,run_number,total_time,split1,split2,split3,split4,status,run_type
1,Erik,Andersson,Järvsö CK,Elite Men,SWE19920315,101,1,00:02:34.567,00:00:45.123,00:00:52.234,00:00:35.678,00:00:21.532,FIN,run1
1,Erik,Andersson,Järvsö CK,Elite Men,SWE19920315,101,2,00:02:32.123,00:00:44.567,00:00:51.234,00:00:35.234,00:00:21.088,FIN,run2
2,Johan,Svensson,Åre CK,Elite Men,SWE19880423,103,1,00:02:38.123,00:00:47.345,00:00:54.234,00:00:35.987,00:00:20.557,FIN,run1
2,Johan,Svensson,Åre CK,Elite Men,SWE19880423,103,2,00:02:33.456,00:00:44.987,00:00:51.789,00:00:35.456,00:00:21.224,FIN,run2
3,Oscar,Nilsson,Järvsö CK,Elite Men,,107,1,00:02:47.456,00:00:51.234,00:00:58.456,00:00:37.234,00:00:20.532,FIN,run1
3,Oscar,Nilsson,Järvsö CK,Elite Men,,107,2,,,,,,DNF,run2
1,Anna,Karlsson,Stockholm MTB,Elite Women,SWE19950612,102,1,00:02:36.789,00:00:46.234,00:00:53.123,00:00:36.234,00:00:21.198,FIN,run1
1,Anna,Karlsson,Stockholm MTB,Elite Women,SWE19950612,102,2,00:02:35.123,00:00:45.456,00:00:52.456,00:00:35.889,00:00:21.322,FIN,run2
2,Lisa,Johansson,Göteborg MTB,Elite Women,SWE19930828,104,1,00:02:40.456,00:00:48.123,00:00:55.678,00:00:36.123,00:00:20.532,FIN,run1
2,Lisa,Johansson,Göteborg MTB,Elite Women,SWE19930828,104,2,00:02:37.456,00:00:46.123,00:00:53.234,00:00:36.234,00:00:21.865,FIN,run2
1,Marcus,Bergström,Falun CK,Junior Men,SWE20051115,105,1,00:02:42.789,00:00:49.234,00:00:56.234,00:00:36.789,00:00:20.532,FIN,run1
1,Marcus,Bergström,Falun CK,Junior Men,SWE20051115,105,2,00:02:34.789,00:00:45.234,00:00:52.123,00:00:35.678,00:00:21.754,FIN,run2
1,Emma,Lindström,Malung CK,Junior Women,,106,1,00:02:45.123,00:00:50.123,00:00:57.345,00:00:37.123,00:00:20.532,FIN,run1
1,Emma,Lindström,Malung CK,Junior Women,,106,2,00:02:40.789,00:00:47.234,00:00:54.567,00:00:37.123,00:00:21.865,FIN,run2
